"CO_PAIS";"CO_BLOCO";"NO_BLOCO";"NO_BLOCO_ING";"NO_BLOCO_ESP"
"072";"22";"União Europeia - UE";"European Union (EU)";"Uniao Europea (UE)"
"232";"22";"União Europeia - UE";"European Union (EU)";"Uniao Europea (UE)"
"151";"22";"União Europeia - UE";"European Union (EU)";"Uniao Europea (UE)"
"195";"22";"União Europeia - UE";"European Union (EU)";"Uniao Europea (UE)"
"245";"22";"União Europeia - UE";"European Union (EU)";"Uniao Europea (UE)"
"111";"22";"União Europeia - UE";"European Union (EU)";"Uniao Europea (UE)"
"781";"22";"União Europeia - UE";"European Union (EU)";"Uniao Europea (UE)"
"375";"22";"União Europeia - UE";"European Union (EU)";"Uniao Europea (UE)"
"367";"22";"União Europeia - UE";"European Union (EU)";"Uniao Europea (UE)"
"442";"22";"União Europeia - UE";"European Union (EU)";"Uniao Europea (UE)"
"163";"22";"União Europeia - UE";"European Union (EU)";"Uniao Europea (UE)"
"359";"22";"União Europeia - UE";"European Union (EU)";"Uniao Europea (UE)"
"087";"22";"União Europeia - UE";"European Union (EU)";"Uniao Europea (UE)"
"150";"22";"União Europeia - UE";"European Union (EU)";"Uniao Europea (UE)"
"452";"22";"União Europeia - UE";"European Union (EU)";"Uniao Europea (UE)"
"467";"22";"União Europeia - UE";"European Union (EU)";"Uniao Europea (UE)"
"386";"22";"União Europeia - UE";"European Union (EU)";"Uniao Europea (UE)"
"573";"22";"União Europeia - UE";"European Union (EU)";"Uniao Europea (UE)"
